"If you want to show out of stock products, please configure it here: Stores -> Configuration -> Catalog -> Inventory -> Stock Options -> Display Out of Stock Products","If you want to show out of stock products, please configure it here: Stores -> Configuration -> Catalog -> Inventory -> Stock Options -> Display Out of Stock Products"
Label,Label
"Rating Filter","Rating Filter"
"New Filter","New Filter"
"On Sale Filter","On Sale Filter"
Tooltips,Tooltips
"Tooltip Image","Tooltip Image"
"Elastic Search","Elastic Search"
"It speeds up the catalog pages and layered navigation. See more details <a target=""_blank"" href=""https://amasty.com/elasticsearch-for-magento-2.html?utm_source=extension&utm_medium=backend&utm_campaign=iln_to_elastic_m2"">here</a>","It speeds up the catalog pages and layered navigation. See more details <a target=""_blank"" href=""https://amasty.com/elasticsearch-for-magento-2.html?utm_source=extension&utm_medium=backend&utm_campaign=iln_to_elastic_m2"">here</a>"
"Improved Layered Navigation: All Products","Improved Layered Navigation: All Products"
"Enable All Products Page","Enable All Products Page"
"All Products Page URL","All Products Page URL"
"Amasty Improved Layered Navigation","Amasty Improved Layered Navigation"
"Settings for your filters and their options","Settings for your filters and their options"
"Delete items","Delete items"
"Are you sure you wan't to delete selected items?","Are you sure you wan't to delete selected items?"
ID,ID
Title,Title
Options,Options
"Enable Improved Layered Navigation","Enable Improved Layered Navigation"
