"ItemNumber","ItemVariationNumber","ImprintLocationName"
"BG227","BG227BKRD","Front Top Pocket"
"BG227","BG227BKOR","Front Top Pocket"
"BG227","BG227BKGY","Front Top Pocket"
"BG227","BG227BKRY","Front Top Pocket"
"BG227","BG227BKRD","Front Top Pocket"
"BG227","BG227BKOR","Front Top Pocket"
"BG227","BG227GYLM","Front Top Pocket"
"BG227","BG227BKRY","Front Top Pocket"
"BG227","BG227BKRD","Front Top Pocket"
"BG227","BG227GYLM","Front Top Pocket"
"BG227","BG227BKRY","Front Top Pocket"
"BG227","BG227BKGY","Middle Pocket"
"BG227","BG227GYLM","Front Top Pocket"
"BG227","BG227BKOR","Middle Pocket"
"BG228","BG228BK","Top Pocket"
"BG228","BG228BK","Top Pocket"
"BG228","BG228BK","Top Pocket"
"BG228","BG228BK","Top Pocket"
"BG228","BG228BK","Top Pocket"
"BG228","BG228BK","Top Pocket"
"BG228","BG228BK","Top Pocket"
"BG228","BG228BK","Top Pocket"
"BG230","BG230GYLM","Top"
"BG230","BG230GYOR","Top"
"BG230","BG230GYLM","Top"
"BG230","BG230GYOR","Top"
"BG230","BG230GYLM","Top"
"BG230","BG230GYOR","Top"
"BG230","BG230GYLM","Top"
"BG230","BG230GYOR","Top"
"BG230","BG230GYLM","Top"
"BG230","BG230GYOR","Top"
"BG230","BG230GYLM","Top"
"BG230","BG230GYOR","Top"
"BG231","BG231GYLMGN","Top"
"BG231","BG231GYOR","Top"
"BG231","BG231GYLMGN","Default"
"BG231","BG231GYOR","Default"
"BG231","BG231GYLMGN","Top"
"BG231","BG231GYOR","Top"
"BG231","BG231GYLMGN","Default"
"BG231","BG231GYOR","Default"
"BG231","BG231GYLMGN","Top"
"BG231","BG231GYOR","Top"
"BG231","BG231GYLMGN","Default"
"BG231","BG231GYOR","Default"
"BG232","BG232GN","Bottom Right side on pocket"
"BG232","BG232RY","Bottom Left Pocket"
"BG232","BG232RY","Bottom Right side on pocket"
"BG232","BG232BK","Bottom Right side on pocket"
"BG232","BG232BK","Middle pocket"
"BG232","BG232GN","Bottom Right side on pocket"
"BG232","BG232GN","Middle pocket"
"BG232","BG232RY","Bottom Right side on pocket"
"BG232","BG232RY","Middle pocket"
"BG232","BG232BK","Middle pocket"
"BG232","BG232BK","Bottom Right side on pocket"
"BG232","BG232GN","Middle pocket"
"BG232","BG232GN","Bottom Right side on pocket"
"BG232","BG232RY","Middle pocket"
"BG232","BG232RY","Bottom Right side on pocket"
"BG232","BG232BK","Bottom Left Pocket"
"BG232","BG232BK","Bottom Left Pocket"
"BG232","BG232GN","Bottom Left Pocket"
"BG232","BG232GN","Bottom Left Pocket"
"BG232","BG232RY","Bottom Left Pocket"
"BG232","BG232RY","Bottom Left Pocket"
"BG232","BG232BK","Bottom Right side on pocket"
"BG232","BG232BK","Bottom Right side on pocket"
"BG232","BG232GN","Bottom Right side on pocket"
"BG232","BG232GN","Bottom Right side on pocket"
"BG232","BG232RY","Bottom Right side on pocket"
"BG232","BG232RY","Bottom Right side on pocket"
"BG232","BG232BK","Middle pocket"
"BG232","BG232BK","Middle pocket"
"BG232","BG232GN","Middle pocket"
"BG232","BG232GN","Middle pocket"
"BG232","BG232RY","Middle pocket"
"BG232","BG232RY","Middle pocket"
"BG232","BG232BK","Bottom Right side on pocket"
"BG232","BG232BK","Bottom Left Pocket"
